id,title,price,currency,location,date,url,image
63787015,"Учтепа Она-бола 4,5 соток",2304852000,UZS,"Ташкент, Учтепинский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/uchtepa-ona-bola-4-5-sotok-ID4jDUP.html,/app/static/media/no_thumbnail.15f456ec5.svg
63490948,"Мирзо-Улугбек, Megadom. Приобретите квартиру по ТОП цене. Срочно;",1018987200,UZS,"Ташкент, Мирзо-Улугбекский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/mirzo-ulugbek-megadom-priobretite-kvartiru-po-top-tsene-srochno-ID4ioTy.html,/app/static/media/no_thumbnail.15f456ec5.svg
63688313,"3-ех комн,3/3/5. Тузель3, школа №282, Улучшенка 92м*,Можно под Ипотеку",946202400,UZS,"Ташкент, Яшнабадский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/3-eh-komn-3-3-5-tuzel3-shkola-282-uluchshenka-92m-mozhno-pod-ipoteku-ID4jeeR.html,/app/static/media/no_thumbnail.15f456ec5.svg
59758256,Nazarbekda yevro remontli dom sotiladi,570147600,UZS,Назарбек,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/nazarbekda-yevro-remontli-dom-sotiladi-ID42JQQ.html,/app/static/media/no_thumbnail.15f456ec5.svg
63577553,Дом 1 сотка 5 комнат Файзабад Рисовый Фергана йули,1577004000,UZS,"Ташкент, Мирабадский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/dom-1-sotka-5-komnat-fayzabad-risovyy-fergana-yuli-ID4iLqp.html,/app/static/media/no_thumbnail.15f456ec5.svg
58893986,Keles gʻiyos Umarovdan yer hisobida uy sotiladi,103111800,UZS,Келес,Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/keles-giyos-umarovdan-yer-hisobida-uy-sotiladi-ID3Z710.html,/app/static/media/no_thumbnail.15f456ec5.svg
63596508,1/3/12 ЖК Хонабод Авеню метро Ханабад,545886000,UZS,"Ташкент, Сергелийский район",Сегодня в 09:37,https://www.olx.uz/d/obyavlenie/1-3-12-zhk-honabod-avenyu-metro-hanabad-ID4iQm8.html,/app/static/media/no_thumbnail.15f456ec5.svg
63640163,Uy Sotiladi Jarqörğon,450000000,UZS,Ангор,06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/uy-sotiladi-jarqron-ID4j1If.html,/app/static/media/no_thumbnail.15f456ec5.svg
63782229,"Сдаётся шикарная квартира, ЖК Prestige Garden’s 2-шка, Яккасарайский р",9704640,UZS,"Ташкент, Яккасарайский район",07 марта 2026 г.,https://www.olx.uz/d/obyavlenie/sdaetsya-shikarnaya-kvartira-zhk-prestige-gardens-2-shka-yakkasarayskiy-r-ID4jCFD.html,/app/static/media/no_thumbnail.15f456ec5.svg
63632532,Продается своя 1 комнатная квартира переделанная в 2 в центре города,885548400,UZS,"Ташкент, Алмазарский район",06 марта 2026 г.,https://www.olx.uz/d/obyavlenie/prodaetsya-svoya-1-komnatnaya-kvartira-peredelannaya-v-2-v-tsentre-goroda-ID4iZJa.html,/app/static/media/no_thumbnail.15f456ec5.svg
